file1,file2,section,ssdeep,tlsh,mvhash,truth
printenv-coreutils_8-30_O2.data,rm-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,runcon-coreutils_8-30_O2.text,text,0,-8,,no
printenv-coreutils_8-30_O2,runcon-coreutils_8-30_O2,full,0,-168,,no
printenv-coreutils_8-30_O2.rodata,runcon-coreutils_8-30_O2.rodata,rodata,40,-462,,no
printenv-coreutils_8-30_O2.data,runcon-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,seq-coreutils_8-30_O2.text,text,0,-480,,no
printenv-coreutils_8-30_O2,seq-coreutils_8-30_O2,full,0,-542,,no
printenv-coreutils_8-30_O2.rodata,seq-coreutils_8-30_O2.rodata,rodata,43,-608,,no
printenv-coreutils_8-30_O2.data,seq-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,sleep-coreutils_8-30_O2.text,text,0,25,,no
printenv-coreutils_8-30_O2,sleep-coreutils_8-30_O2,full,0,-60,,no
printenv-coreutils_8-30_O2.rodata,sleep-coreutils_8-30_O2.rodata,rodata,41,-425,,no
printenv-coreutils_8-30_O2.data,sleep-coreutils_8-30_O2.data,data,16,,,no
printenv-coreutils_8-30_O2.text,ginstall-coreutils_8-30_O2.text,text,0,-905,,no
printenv-coreutils_8-30_O2,ginstall-coreutils_8-30_O2,full,0,-937,,no
printenv-coreutils_8-30_O2.rodata,ginstall-coreutils_8-30_O2.rodata,rodata,0,-865,,no
printenv-coreutils_8-30_O2.data,ginstall-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,cat-coreutils_8-30_O2.text,text,0,-122,,no
printenv-coreutils_8-30_O2,cat-coreutils_8-30_O2,full,27,-114,,no
printenv-coreutils_8-30_O2.rodata,cat-coreutils_8-30_O2.rodata,rodata,43,-462,,no
printenv-coreutils_8-30_O2.data,cat-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,mkdir-coreutils_8-30_O2.text,text,0,-628,,no
printenv-coreutils_8-30_O2,mkdir-coreutils_8-30_O2,full,0,-685,,no
printenv-coreutils_8-30_O2.rodata,mkdir-coreutils_8-30_O2.rodata,rodata,0,-531,,no
printenv-coreutils_8-30_O2.data,mkdir-coreutils_8-30_O2.data,data,0,,,no
