file1,file2,section,ssdeep,tlsh,mvhash,truth
b2sum-coreutils_8-30_O2.data,tty-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,tty-coreutils_8-30_O2,full,0,-531,,no
b2sum-coreutils_8-30_O2.rodata,tty-coreutils_8-30_O2.rodata,rodata,32,-862,,no
b2sum-coreutils_8-30_O2.text,tty-coreutils_8-30_O2.text,text,0,-651,,no
b2sum-coreutils_8-30_O2.data,pr-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,pr-coreutils_8-30_O2,full,0,-202,,no
b2sum-coreutils_8-30_O2.rodata,pr-coreutils_8-30_O2.rodata,rodata,30,-894,,no
b2sum-coreutils_8-30_O2.text,pr-coreutils_8-30_O2.text,text,0,-280,,no
b2sum-coreutils_8-30_O2.data,users-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,users-coreutils_8-30_O2,full,0,-600,,no
b2sum-coreutils_8-30_O2.rodata,users-coreutils_8-30_O2.rodata,rodata,40,-880,,no
b2sum-coreutils_8-30_O2.text,users-coreutils_8-30_O2.text,text,0,-602,,no
b2sum-coreutils_8-30_O2.data,nohup-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,nohup-coreutils_8-30_O2,full,0,-422,,no
b2sum-coreutils_8-30_O2.rodata,nohup-coreutils_8-30_O2.rodata,rodata,40,-917,,no
b2sum-coreutils_8-30_O2.text,nohup-coreutils_8-30_O2.text,text,0,-562,,no
b2sum-coreutils_8-30_O2.data,md5sum-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,md5sum-coreutils_8-30_O2,full,0,-197,,no
b2sum-coreutils_8-30_O2.rodata,md5sum-coreutils_8-30_O2.rodata,rodata,68,-385,48,no
b2sum-coreutils_8-30_O2.text,md5sum-coreutils_8-30_O2.text,text,0,-248,,no
b2sum-coreutils_8-30_O2.data,pwd-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,pwd-coreutils_8-30_O2,full,0,-368,,no
b2sum-coreutils_8-30_O2.rodata,pwd-coreutils_8-30_O2.rodata,rodata,41,-742,,no
b2sum-coreutils_8-30_O2.text,pwd-coreutils_8-30_O2.text,text,0,-542,,no
b2sum-coreutils_8-30_O2.data,tac-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,tac-coreutils_8-30_O2,full,0,-265,,no
b2sum-coreutils_8-30_O2.rodata,tac-coreutils_8-30_O2.rodata,rodata,43,-737,,no
b2sum-coreutils_8-30_O2.text,tac-coreutils_8-30_O2.text,text,0,-462,,no
b2sum-coreutils_8-30_O2.data,dircolors-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,dircolors-coreutils_8-30_O2,full,0,-234,,no
b2sum-coreutils_8-30_O2.rodata,dircolors-coreutils_8-30_O2.rodata,rodata,30,-662,,no
b2sum-coreutils_8-30_O2.text,dircolors-coreutils_8-30_O2.text,text,0,-585,,no
b2sum-coreutils_8-30_O2.data,date-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,date-coreutils_8-30_O2,full,0,-360,,no
b2sum-coreutils_8-30_O2.rodata,date-coreutils_8-30_O2.rodata,rodata,0,-817,,no
b2sum-coreutils_8-30_O2.text,date-coreutils_8-30_O2.text,text,0,-442,,no
b2sum-coreutils_8-30_O2.data,mktemp-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,mktemp-coreutils_8-30_O2,full,0,-314,,no
b2sum-coreutils_8-30_O2.rodata,mktemp-coreutils_8-30_O2.rodata,rodata,0,-565,,no
b2sum-coreutils_8-30_O2.text,mktemp-coreutils_8-30_O2.text,text,0,-374,,no
b2sum-coreutils_8-30_O2.data,chcon-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,chcon-coreutils_8-30_O2,full,0,-108,,no
b2sum-coreutils_8-30_O2.rodata,chcon-coreutils_8-30_O2.rodata,rodata,33,-422,,no
b2sum-coreutils_8-30_O2.text,chcon-coreutils_8-30_O2.text,text,0,-225,,no
b2sum-coreutils_8-30_O2.data,groups-coreutils_8-30_O2.data,data,0,,,no
